Quantity,UnitPrice,OrderStatus,ItemsInCart,TotalPrice,Year,Month,DayOfWeek,IsWeekend,RevenuePerCartItem,OrderStatus_encoded,Product_Chair,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,CouponCode_FREESHIP,CouponCode_SAVE10,CouponCode_WINTER15,RevenueIntensityScore,PriceDeviation,SpendTier
5.0,570.62,Shipped,7.0,2853.1,2023,1,2,0,407.5857142857143,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,81.51714285714286,211.95638036809817,3
2.0,151.35,Shipped,3.0,302.7,2024,8,4,0,100.89999999999999,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,50.449999999999996,-223.8675641025641,0
5.0,550.68,Cancelled,8.0,2753.4,2024,2,1,0,344.175,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,68.83500000000001,183.00089385474854,3
1.0,273.19,Returned,5.0,273.19,2023,10,6,1,54.638,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,54.638,-82.47028089887641,0
4.0,626.01,Delivered,8.0,2504.04,2025,5,3,0,313.005,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,78.25125,274.29508287292816,3
2.0,245.86,Shipped,4.0,491.72,2023,10,0,0,122.93,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,61.465,-129.35756410256408,0
1.0,664.42,Returned,6.0,664.42,2025,6,1,0,110.73666666666666,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,110.73666666666666,306.7129479768786,0
5.0,149.55,Shipped,9.0,747.75,2023,5,4,0,83.08333333333333,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,16.616666666666667,-209.11361963190183,0
2.0,134.28,Cancelled,2.0,268.56,2025,4,2,0,134.28,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,67.14,-240.9375641025641,0
4.0,509.38,Shipped,6.0,2037.52,2023,11,1,0,339.58666666666664,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,84.89666666666666,179.7718823529412,2
5.0,625.97,Returned,9.0,3129.85,2023,12,4,0,347.7611111111111,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,69.55222222222223,258.2908938547486,3
3.0,49.14,Returned,7.0,147.42,2024,2,5,1,21.06,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,7.02,-309.52361963190185,0
2.0,180.5,Pending,6.0,361.0,2024,10,1,0,60.166666666666664,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,30.083333333333332,-178.16361963190184,0
3.0,201.49,Returned,4.0,604.47,2023,8,2,0,151.1175,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,50.3725,-156.21705202312137,0
2.0,393.33,Pending,3.0,786.66,2023,3,0,0,262.21999999999997,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,131.10999999999999,25.650893854748574,0
1.0,473.96,Delivered,3.0,473.96,2023,7,0,0,157.98666666666665,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,157.98666666666665,122.24508287292815,0
2.0,533.81,Pending,3.0,1067.62,2023,1,1,0,355.8733333333333,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,177.93666666666664,182.09508287292812,1
1.0,423.4,Shipped,3.0,423.4,2024,3,5,1,141.13333333333333,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,141.13333333333333,55.72089385474857,0
1.0,431.44,Pending,3.0,431.44,2025,3,2,0,143.81333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,143.81333333333333,101.8318823529412,0
5.0,224.0,Returned,9.0,1120.0,2023,1,0,0,124.44444444444444,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,24.88888888888889,-134.66361963190184,1
5.0,62.51,Pending,9.0,312.55,2023,5,0,0,34.72777777777778,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6.945555555555556,-293.1502808988764,0
4.0,342.95,Delivered,6.0,1371.8,2024,11,6,1,228.63333333333333,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,57.15833333333333,-15.71361963190185,1
2.0,49.62,Pending,2.0,99.24,2023,1,6,1,49.62,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,24.81,-309.04361963190183,0
4.0,273.25,Cancelled,5.0,1093.0,2025,4,2,0,218.6,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,54.65,-101.9675641025641,1
