2026-06-29 23:21:26,354 | DEBUG    | matplotlib | matplotlib data path: /usr/local/lib/python3.12/dist-packages/matplotlib/mpl-data
2026-06-29 23:21:26,359 | DEBUG    | matplotlib | CONFIGDIR=/root/.config/matplotlib
2026-06-29 23:21:26,359 | DEBUG    | matplotlib | interactive is False
2026-06-29 23:21:26,359 | DEBUG    | matplotlib | platform is linux
2026-06-29 23:21:26,378 | DEBUG    | matplotlib | CACHEDIR=/root/.cache/matplotlib
2026-06-29 23:21:26,379 | DEBUG    | matplotlib.font_manager | Using fontManager instance from /root/.cache/matplotlib/fontlist-v390.json
2026-06-29 23:21:26,553 | INFO     | main | DS Project 1 — EDA & Feature Engineering Pipeline
2026-06-29 23:21:26,553 | INFO     | main | ==================================================
2026-06-29 23:21:26,553 | INFO     | main | Loading dataset...
2026-06-29 23:21:26,771 | INFO     | main |   1,200 rows × 14 columns loaded
2026-06-29 23:21:26,771 | INFO     | main | 
Phase 1 — Input Fidelity
2026-06-29 23:21:26,772 | DEBUG    | src.output.schema_contracts | Raw input schema passed
2026-06-29 23:21:26,777 | DEBUG    | src.input.missing_data | Missing remaining after imputation: 0
2026-06-29 23:21:26,780 | DEBUG    | src.input.outlier_handler |   'Quantity': 0 outliers winsorized to [-1.00, 7.00]
2026-06-29 23:21:26,781 | DEBUG    | src.input.outlier_handler |   'UnitPrice': 0 outliers winsorized to [-317.20, 1024.83]
2026-06-29 23:21:26,782 | DEBUG    | src.input.outlier_handler |   'ItemsInCart': 0 outliers winsorized to [-0.50, 11.50]
2026-06-29 23:21:26,786 | DEBUG    | matplotlib.pyplot | Loaded backend Agg version v2.2.
2026-06-29 23:21:26,788 | DEBUG    | matplotlib.font_manager | findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2026-06-29 23:21:26,788 | DEBUG    | matplotlib.font_manager | findfont: score(FontEntry(fname='/usr/local/lib/python3.12/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
